price,volume_24h,percent_change_24h,market_cap,market_cap_dominance,date
102603.85,61143412641,3.63407291,2032722626042,56.4942,2025-01-17T14:03:00.000Z
102609.8,61143412545,3.71451646,2032840441298,56.5015,2025-01-17T14:04:00.000Z
102603.06,61126264363,3.72612679,2032706945327,56.4978,2025-01-17T14:05:00.000Z
